session_id,participant_id,validation_type,timestamp,calibration_accuracy,glasses,total_duration_ms,total_duration_sec,completed_tasks,total_tasks,completion_rate,avg_task_duration_ms,avg_valence,std_valence,min_valence,max_valence,avg_negative_prob,max_negative_prob,total_samples,emotion_distribution,negative_emotions_ratio,modal_shown_count,modal_closed_count,total_clicks,error_corrections,total_interactions,total_fixations,total_gaze_distance,avg_gaze_speed,fixations_per_second
session_1776667706411_rurtm3u83,27,inline,1776667706411,48,False,96123,96.123,2,2,1.0,48061.5,-0.016232291575848275,0.07873003348537976,-0.5807363735983017,0.12016302411502694,0.03297229146647675,0.9726448605997575,589.0,"{'neutral': 567, 'fearful': 13, 'surprised': 4, 'sad': 4, 'angry': 1}",0.030560271646859084,1,0,12,1,28,1155,416509.1793573032,4156.487863695183,11.526140888361091
session_1776668099451_xmjl2w0fl,24,modal,1776668099451,53,False,128289,128.289,2,2,1.0,64144.5,-0.09187643515277175,0.16938555479516665,-0.7129791603234906,0.7719940587414271,0.1601127471222204,0.9969569356921282,838.0,"{'neutral': 720, 'sad': 57, 'angry': 57, 'happy': 4}",0.1360381861575179,9,9,24,2,48,1555,421856.81757474225,3059.660549437123,11.278168222401126
session_1776668290348_bto5lsd3k,94,modal,1776668290348,39,False,111529,111.529,2,2,1.0,55764.5,-0.003011043381204122,0.02954109363541628,-0.5311502963665589,0.0012318962620497579,0.00508531340028772,0.7291755609221582,625.0,"{'neutral': 622, 'angry': 2, 'sad': 1}",0.0048,9,8,27,3,51,825,198459.26170866852,1615.7493544523115,6.716709545054873
session_1776668290348_bto5lsd3k,94,modal,1776668290348,39,False,111529,111.529,2,2,1.0,55764.5,-0.003011043381204122,0.02954109363541628,-0.5311502963665589,0.0012318962620497579,0.00508531340028772,0.7291755609221582,625.0,"{'neutral': 622, 'angry': 2, 'sad': 1}",0.0048,9,8,27,3,51,825,198459.26170866852,1615.7493544523115,6.716709545054873
session_1776668710087_8nvh5dkk7,8,modal,1776668710087,60,False,247286,247.286,2,2,1.0,123643.0,-0.03566766580838634,0.1430372819721409,-0.40913282056822037,0.79997909544083,0.1182264657871492,0.9955980099437247,1289.0,"{'neutral': 1146, 'sad': 117, 'happy': 24, 'surprised': 1, 'angry': 1}",0.09154383242823895,19,19,34,1,78,3064,647559.9232995607,2523.567051692526,11.940531166578984
session_1776668810651_owlons7cw,71,modal,1776668810651,46,False,150671,150.671,2,2,1.0,75335.5,-0.13345116129994652,0.15578253899058703,-0.39856296462278973,0.7999699470291223,0.34800566476276334,0.9963370440959103,858.0,"{'neutral': 554, 'sad': 298, 'happy': 6}",0.3473193473193473,9,9,27,3,52,1162,371469.36048724665,2002.4115038312916,6.263779506336552
session_1776668810651_owlons7cw,71,modal,1776668810651,46,False,150671,150.671,2,2,1.0,75335.5,-0.13345116129994652,0.15578253899058703,-0.39856296462278973,0.7999699470291223,0.34800566476276334,0.9963370440959103,858.0,"{'neutral': 554, 'sad': 298, 'happy': 6}",0.3473193473193473,9,9,27,3,52,1162,371469.36048724665,2002.4115038312916,6.263779506336552
session_1776669332928_k38u5sko2,5,inline,1776669332928,44,False,100960,100.96,2,2,1.0,50480.0,0.018715669892537343,0.17255943352936734,-0.39906565685928697,0.7999973063333288,0.041617186589154385,0.9976399521603838,644.0,"{'neutral': 598, 'happy': 29, 'sad': 17}",0.026397515527950312,2,1,25,0,57,1248,361119.6510366843,3370.602877006144,11.648528066605687
session_1776669443683_2rcqyot0q,43,modal,1776669443683,56,True,176630,176.63,2,2,1.0,88315.0,0.12708684495238484,0.32481248896602566,-0.3918504030997611,0.8000000441246324,0.08429796734310928,0.9795335371491092,933.0,"{'neutral': 678, 'happy': 175, 'sad': 79, 'surprised': 1}",0.08467309753483387,9,9,39,4,65,1289,290012.2747076306,1531.1349702108157,6.805342906921493
session_1776669443683_2rcqyot0q,43,modal,1776669443683,56,True,176630,176.63,2,2,1.0,88315.0,0.12708684495238484,0.32481248896602566,-0.3918504030997611,0.8000000441246324,0.08429796734310928,0.9795335371491092,933.0,"{'neutral': 678, 'happy': 175, 'sad': 79, 'surprised': 1}",0.08467309753483387,9,9,39,4,65,1289,290012.2747076306,1531.1349702108157,6.805342906921493
session_1776669722142_n70o00urf,28,modal,1776669722142,39,False,131369,131.369,2,2,1.0,65684.5,-0.0022548357957144663,0.06184674617054359,-0.39077857241417396,0.7999984699352904,0.014618430067604939,0.9455829449971276,679.0,"{'neutral': 671, 'sad': 4, 'happy': 3, 'surprised': 1}",0.005891016200294551,14,13,29,2,63,1626,702130.6437467458,5129.421796327856,11.87875777123529
session_1776670086364_9s0n3szxk,62,modal,1776670086364,63,True,156142,156.142,2,2,1.0,78071.0,0.03489001499140777,0.18916172561943873,-0.4692425735519465,0.799999926489591,0.040175566655035036,0.7348437544566835,899.0,"{'neutral': 834, 'happy': 56, 'surprised': 4, 'sad': 4, 'angry': 1}",0.0055617352614015575,9,9,27,2,52,1066,295047.4287760214,1831.6712012963749,6.617788566000955
session_1776670086364_9s0n3szxk,62,modal,1776670086364,63,True,156142,156.142,2,2,1.0,78071.0,0.03489001499140777,0.18916172561943873,-0.4692425735519465,0.799999926489591,0.040175566655035036,0.7348437544566835,899.0,"{'neutral': 834, 'happy': 56, 'surprised': 4, 'sad': 4, 'angry': 1}",0.0055617352614015575,9,9,27,2,52,1066,295047.4287760214,1831.6712012963749,6.617788566000955
session_1776670238650_hxgtz4ya1,65,modal,1776670238650,71,False,186960,186.96,2,2,1.0,93480.0,-0.043707497872732384,0.1821619282765083,-0.7961239751689694,0.7971025777972542,0.11815075178036014,0.9979135980429419,1178.0,"{'neutral': 1030, 'sad': 67, 'angry': 49, 'happy': 32}",0.09847198641765705,13,12,31,3,63,2267,733856.6591835606,3789.15315600812,11.70529707290123
session_1776670655078_gpsk54t2h,7,inline,1776670655079,44,False,100350,100.35,2,2,1.0,50175.0,0.0009597751831240306,0.01300048205647519,-0.0002903662113411421,0.2103642243480254,1.2600340936743782e-05,0.0008811023911903249,596.0,{'neutral': 596},0.0,6,6,26,0,61,706,199851.2952837331,1762.994515510309,6.228001305586676
session_1776670655078_gpsk54t2h,7,inline,1776670655079,44,False,100350,100.35,2,2,1.0,50175.0,0.0009597751831240306,0.01300048205647519,-0.0002903662113411421,0.2103642243480254,1.2600340936743782e-05,0.0008811023911903249,596.0,{'neutral': 596},0.0,6,6,26,0,61,706,199851.2952837331,1762.994515510309,6.228001305586676
session_1776670826484_cqq2ikafa,18,modal,1776670826484,63,False,95879,95.879,2,2,1.0,47939.5,0.0200651758233903,0.27929978487757223,-0.6249523898874031,0.7999999977719112,0.15857886908159852,0.9979551533083963,620.0,"{'neutral': 462, 'sad': 91, 'happy': 67}",0.14677419354838708,9,8,27,2,50,1214,372634.55289819546,3713.7929089497047,12.099105025015447
session_1776671217783_lzc1ll57k,20,modal,1776671217783,45,False,159079,159.079,2,2,1.0,79539.5,0.0688122973278641,0.27851990304878715,-0.39347232931954607,0.8000000177407224,0.09451966157247406,0.9835775533824744,936.0,"{'neutral': 767, 'happy': 122, 'sad': 47}",0.050213675213675216,9,9,26,3,51,1191,384932.2118259759,2146.418261853248,6.641128155372288
session_1776671217783_lzc1ll57k,20,modal,1776671217783,45,False,159079,159.079,2,2,1.0,79539.5,0.0688122973278641,0.27851990304878715,-0.39347232931954607,0.8000000177407224,0.09451966157247406,0.9835775533824744,936.0,"{'neutral': 767, 'happy': 122, 'sad': 47}",0.050213675213675216,9,9,26,3,51,1191,384932.2118259759,2146.418261853248,6.641128155372288
session_1776671344188_strvkzzd1,53,inline,1776671344188,61,False,157140,157.14,2,2,1.0,78570.0,-0.19068908438683613,0.15804700535116417,-0.40000601255788326,-7.33828372801782e-05,0.47596816834508937,0.9999919262311323,980.0,"{'neutral': 500, 'sad': 480}",0.4897959183673469,1,0,16,0,44,1890,551376.3270178912,3342.383699681092,11.456975722122875
session_1776671896123_myai74s7d,64,modal,1776671896123,70,False,149986,149.986,2,2,1.0,74993.0,0.0012102925124008834,0.011666983569042735,-0.00784751430428514,0.19720998110133922,5.4160569383169685e-05,0.0462276658272458,939.0,{'neutral': 939},0.0,4,3,21,1,34,1807,474532.93308989506,3050.658196282216,11.61676877679989
session_1776672292798_i3i2n3ct0,29,inline,1776672292798,53,False,142483,142.483,2,2,1.0,71241.5,-0.003081665143644124,0.024440499810322435,-0.19977777275076963,0.6097047243571289,0.009585846631093591,0.49950572636493007,881.0,"{'neutral': 880, 'happy': 1}",0.0,12,12,38,0,89,1111,310894.56074928737,2031.1011566783654,7.258259455009897
session_1776672292798_i3i2n3ct0,29,inline,1776672292798,53,False,142483,142.483,2,2,1.0,71241.5,-0.003081665143644124,0.024440499810322435,-0.19977777275076963,0.6097047243571289,0.009585846631093591,0.49950572636493007,881.0,"{'neutral': 880, 'happy': 1}",0.0,12,12,38,0,89,1111,310894.56074928737,2031.1011566783654,7.258259455009897
session_1776672399456_19urk4thb,17,inline,1776672399456,53,False,125476,125.476,2,2,1.0,62738.0,-0.007724107907854601,0.05094135699328547,-0.5475099377105608,0.7193914200535282,0.015483100020800583,0.7728211419271247,799.0,"{'neutral': 794, 'angry': 2, 'sad': 2, 'happy': 1}",0.0050062578222778474,1,0,21,3,49,1481,458474.5219225781,3388.5523530689215,10.945964922653936
session_1776672840738_x8c1a3j0e,44,modal,1776672840738,56,False,94012,94.012,2,2,1.0,47006.0,0.0938184383292188,0.23314697825545067,-0.27765199361891174,0.7999999999979698,0.009806577369032477,0.7972694179559028,580.0,"{'neutral': 509, 'happy': 69, 'sad': 2}",0.0034482758620689655,3,3,18,2,30,740,106733.39162429117,951.7700025350997,6.598776551158353
session_1776673240660_ne2ua16ku,61,modal,1776673240661,65,False,118618,118.618,2,2,1.0,59309.0,-0.0026670266785947055,0.019026096220327218,-0.35281355235881057,0.09637642536254136,0.0077255369732673945,0.8955516912942869,760.0,"{'neutral': 759, 'sad': 1}",0.0013157894736842105,11,11,25,2,53,1424,398794.00714661134,3184.797769862251,11.372166940855148
session_1776673379204_12jvym1zn,45,inline,1776673379204,50,True,220902,220.902,2,2,1.0,110451.0,-0.03854600033906297,0.11763493996705582,-0.5406827691586159,0.7285053733533844,0.10625892888579225,0.9974108611251289,988.0,"{'neutral': 910, 'sad': 63, 'happy': 11, 'angry': 4}",0.06781376518218624,3,2,39,0,73,1906,342128.98573576787,1446.0166513910249,8.055756315484718
session_1776673379204_12jvym1zn,45,inline,1776673379204,50,True,220902,220.902,2,2,1.0,110451.0,-0.03854600033906297,0.11763493996705582,-0.5406827691586159,0.7285053733533844,0.10625892888579225,0.9974108611251289,988.0,"{'neutral': 910, 'sad': 63, 'happy': 11, 'angry': 4}",0.06781376518218624,3,2,39,0,73,1906,342128.98573576787,1446.0166513910249,8.055756315484718
session_1776673887660_d2paylmkk,78,modal,1776673887660,58,False,195620,195.62,2,2,1.0,97810.0,-0.034285947081020514,0.09568994987282213,-0.7320604900574836,0.015418090052506274,0.07242111046083079,0.9999992041374336,1173.0,"{'neutral': 1112, 'sad': 42, 'angry': 11, 'fearful': 8}",0.05200341005967604,16,16,41,6,82,2380,601509.436403447,3004.527631747329,11.888052507230233
session_1776674026590_8ryvj1rkb,31,inline,1776674026590,48,False,82929,82.929,2,2,1.0,41464.5,-0.006810828155260787,0.03285093448528852,-0.34241832421640805,0.007431834510963137,0.01641523562400992,0.8559248860886761,490.0,"{'neutral': 485, 'sad': 5}",0.01020408163265306,6,5,24,0,52,600,134440.6142732531,1437.1758434256574,6.414025335400075
session_1776676711706_kuw0jb8o9,79,modal,1776676711706,57,False,150684,150.684,2,2,1.0,75342.0,-0.07842032106548269,0.16855434832807775,-0.689691794952114,0.7975374440649147,0.2327088285219904,0.9999297230167485,957.0,"{'neutral': 774, 'sad': 155, 'happy': 25, 'angry': 3}",0.16509926854754442,11,11,28,2,56,1768,400070.8382635921,2308.5449409324415,10.20196191575303
session_1776677653415_kh7rv2kq4,90,modal,1776677653415,31,False,166781,166.781,2,2,1.0,83390.5,-0.07827696678235835,0.18550854467338268,-0.7966532327352795,0.7997736860974094,0.1200825333794025,0.9960381921149022,999.0,"{'neutral': 907, 'angry': 69, 'happy': 13, 'sad': 10}",0.07907907907907907,14,14,30,2,65,2031,735516.7634136722,3937.266209945303,10.87206719162353
session_1776678459810_2sxrf229f,74,modal,1776678459810,69,False,305016,305.016,2,2,1.0,152508.0,0.05591331374683376,0.16561247165795176,-0.5324907921487465,0.7971381740065454,0.007033042429040538,0.6746577370213345,1976.0,"{'neutral': 1844, 'happy': 129, 'angry': 2, 'sad': 1}",0.0015182186234817814,24,24,44,1,98,3713,1003344.8849535759,3048.92985299539,11.282936419908777
session_1776679232783_tl67udxy0,84,modal,1776679232783,72,False,199297,199.297,2,2,1.0,99648.5,-0.018547645078040787,0.05222405730372638,-0.6082581385506978,0.045414159734355045,0.025833900395141246,0.984680675315758,1287.0,"{'neutral': 1279, 'angry': 5, 'sad': 3}",0.006216006216006216,4,3,24,3,40,2404,729546.1775418416,3538.4459835085468,11.659884468199653
session_1776679940338_o4jwlh5z5,91,inline,1776679940338,64,False,67250,67.25,2,2,1.0,33625.0,-0.0034375741365950665,0.02208337161712423,-0.21325959957466695,0.10075941939650762,0.013144414123074948,0.514604048912588,221.0,"{'neutral': 219, 'surprised': 1, 'sad': 1}",0.004524886877828055,1,0,2,0,17,871,298542.45586427883,4127.73353792936,12.042695572823051
session_1777270422371_ddzmq0apm,47,inline,1777270422371,85,False,132041,132.041,2,2,1.0,66020.5,0.053293259730614155,0.18201802943366305,-0.39769670356763537,0.8000000216587235,0.004653040675730902,0.5368509778636508,787.0,"{'neutral': 738, 'happy': 48, 'angry': 1}",0.0012706480304955528,10,9,37,0,93,1633,495181.15112968703,3418.8149069986684,11.274509803921568
session_1777270510145_o84hj6n3r,6,modal,1777270510145,44,False,62744,62.744,2,2,1.0,31372.0,-0.009204827607408341,0.03927176521156568,-0.35596474030242864,0.0015305656290678373,0.02271672592112965,0.8966407271383474,336.0,"{'neutral': 331, 'sad': 5}",0.01488095238095238,3,3,17,2,29,395,64049.39712435288,906.9198012595454,5.593078742052872
session_1777270817783_l9d6gxz04,14,modal,1777270817783,36,True,117415,117.415,2,2,1.0,58707.5,0.006063168030645107,0.03756094991312614,-0.4130863800644875,0.6129780382145341,0.0038794429446192867,0.7419383227825165,623.0,"{'neutral': 610, 'surprised': 11, 'sad': 1, 'happy': 1}",0.0016051364365971107,8,8,24,1,46,771,200835.00849899006,1556.1126319055186,5.973873022268367
